experiment_type,variable_name,variable_value,algorithm,objective_value,objective_value_ci95,task_cost,task_cost_ci95,expected_completion_rate,expected_completion_rate_ci95,runtime_seconds,runtime_seconds_ci95
agent_count,num_agents,25,RTM-RPF,15.651613977213842,1.1277665370393093,25.571137462086572,1.9297192352481478,0.33318507451199736,0.02313394181132685,0.009601874351501465,0.0010182804323093267
agent_count,num_agents,25,SPTM,9.104649899997044,0.8058139972013931,31.066819064117,2.6294143139207753,0.26320993741760207,0.020333728241288766,0.0041062331199646,0.00034856911910171115
agent_count,num_agents,30,CPLEX,17.94264709668844,1.1878070015318154,34.494431623421235,1.715647180879834,0.40415680833878304,0.022328410739599985,2.14846670627594,0.680220463767631
agent_count,num_agents,30,LBTM,2.2915003172419977,0.4782592794980376,38.6664639807884,3.9503816370788742,0.19844913587826457,0.017584288856611285,0.003653714656829834,0.0003659308456762086
agent_count,num_agents,30,RTM-RPF,17.0028213178513,0.9545350366175118,30.21107773052498,1.9898542711715437,0.37237349481441145,0.020685989261996104,0.01297396183013916,0.001191795832586528
agent_count,num_agents,30,SPTM,10.200395024585259,0.8620683398434078,37.07491013921952,2.5769687468577316,0.3046124009478731,0.019276034210307345,0.005417487621307373,0.00045152081246677134
agent_count,num_agents,35,CPLEX,19.708196055905965,0.8582752410865903,37.9379629871312,1.3139666922562694,0.44413692788636183,0.015450101091682603,4.495218865871429,1.3146153573521926
agent_count,num_agents,35,LBTM,2.692950655352293,0.48136362004005245,44.88488702426552,4.0287583251971455,0.23083452518045638,0.017737407157987276,0.004400589466094971,0.00039085114228182456
agent_count,num_agents,35,RTM-RPF,19.147030317415844,0.7632370491406716,31.859184328171285,1.433269779090102,0.4100683659409604,0.01374405701789419,0.015566096305847169,0.0012012020049038678
agent_count,num_agents,35,SPTM,11.769939442459222,0.8058912989503986,40.153357029477654,1.948295973175231,0.34022780787575024,0.014924853049959986,0.006314523220062256,0.0004513170107893085
failure_rate,failure_rate,0.05,CPLEX,16.347450223782523,1.2191773415191864,30.318331134646076,1.8421760553377489,0.36347070805966203,0.023535942183958526,1.0663304114341736,0.36467052947408085
failure_rate,failure_rate,0.05,LBTM,2.332556339386464,0.454588530455455,27.896691389950973,3.3278032285359047,0.15287948223388223,0.014809734621033077,0.0026764273643493652,0.0002624805741004657
failure_rate,failure_rate,0.05,RTM-RPF,15.681821421015634,1.1311899585319292,25.556288717859772,1.9355670117772878,0.33355297194819394,0.023172045277772148,0.009355084896087646,0.0009692832831013342
failure_rate,failure_rate,0.05,SPTM,9.045848337019077,0.8135496040694881,31.29415794106418,2.7133451674846842,0.2633442245619762,0.02036024972806849,0.004128444194793701,0.00035315080115525964
failure_rate,failure_rate,0.1,CPLEX,16.255307263553917,1.2159822411350443,30.499178895199652,1.8792620722631521,0.36292944188734017,0.023570241892836033,0.9937240767478943,0.33874488317166296
failure_rate,failure_rate,0.1,LBTM,2.3191127640975573,0.4504486260368141,27.917747130192815,3.31907900577882,0.1527776700450772,0.014797075554138037,0.002663261890411377,0.00025561479973120914
failure_rate,failure_rate,0.1,RTM-RPF,15.651613977213842,1.1277665370393093,25.571137462086572,1.9297192352481478,0.33318507451199736,0.02313394181132685,0.009510486125946046,0.001000631906835118
failure_rate,failure_rate,0.1,SPTM,9.104649899997044,0.8058139972013931,31.066819064117,2.6294143139207753,0.26320993741760207,0.020333728241288766,0.00418055534362793,0.0003338046266577277
failure_rate,failure_rate,0.15,CPLEX,16.291698154342047,1.2250376351209356,30.23533830316454,1.8192653525413207,0.36231856636130577,0.023497946898101786,0.9797601461410522,0.31386751324915163
failure_rate,failure_rate,0.15,LBTM,2.315697579550138,0.45353855966203965,27.860074307103694,3.3189788688369264,0.15248171245258926,0.014748720870900425,0.0028026843070983886,0.0002475183952252803
failure_rate,failure_rate,0.15,RTM-RPF,15.623965108619837,1.1255684273712547,25.612596628824118,1.931566904458212,0.3329677728181011,0.0231141359567048,0.00936267375946045,0.0009596713991351875
failure_rate,failure_rate,0.15,SPTM,9.07688905530671,0.8048360990086405,31.05658104148777,2.6281893024064034,0.2627694766821863,0.020249739638311056,0.004134097099304199,0.000357044996604555
failure_rate,failure_rate,0.2,CPLEX,16.207520826380964,1.2201299890698625,30.51448796719121,1.8457538438224326,0.3623123888076904,0.023401527165002253,0.981209135055542,0.31722278815109534
failure_rate,failure_rate,0.2,LBTM,2.303749805946951,0.45154685815180723,27.878122362869497,3.3180163950648636,0.15238837878296857,0.014737875139139031,0.002592644691467285,0.0002694739379840546
failure_rate,failure_rate,0.2,RTM-RPF,15.602267617176516,1.1256147967836907,25.658321866754896,1.9349357835586258,0.3328537739600426,0.02311476933868131,0.009399356842041016,0.0009617496365577424
failure_rate,failure_rate,0.2,SPTM,9.10971188421458,0.8124888518327081,30.92897967038361,2.587969359845542,0.26269151121899514,0.020212747233570923,0.004218120574951172,0.0003716692926036535
failure_rate,failure_rate,0.25,CPLEX,16.149026732622364,1.211061980156316,30.562479015492094,1.8538468053527062,0.3616824348181427,0.02342296739470639,0.996110520362854,0.314755789808696
failure_rate,failure_rate,0.25,LBTM,2.290555620250097,0.4509887917683427,27.898062427394763,3.319678990887899,0.15228534783526468,0.014725315684085551,0.002568066120147705,0.00026218579790825863
failure_rate,failure_rate,0.25,RTM-RPF,15.571992773424062,1.1230348481126577,25.704807023273982,1.9379823087479149,0.3326204982915179,0.02309150006428086,0.009466805458068848,0.0010072192545536349
failure_rate,failure_rate,0.25,SPTM,9.086619299378999,0.8105148411371065,30.964645429256755,2.5904892759326623,0.26251447040222897,0.02019399773094985,0.0040904593467712405,0.00036177483787531116
network_layers,num_layers,3,CPLEX,18.062466552445446,0.9815408409041133,31.121883314942156,2.157465163015199,0.3914147363846871,0.020820469539667187,1.2227569508552552,0.4883065162518404
network_layers,num_layers,3,LBTM,1.964382872015521,0.4561540203213227,31.70929881985871,3.313579756825078,0.16395960739961615,0.01474160725075592,0.0030105280876159667,0.0002743525640008169
network_layers,num_layers,3,RTM-RPF,16.460638238525355,1.0154012272152242,27.83354507074395,1.9182752755577197,0.3544385965678362,0.021338950022625598,0.010501220226287841,0.0010147209737883245
network_layers,num_layers,3,SPTM,9.151790269853358,0.83887690067645,35.51404074833596,2.6545171092333857,0.2829428927764878,0.019551498182893822,0.00457693099975586,0.0003886777701435628
network_layers,num_layers,4,CPLEX,16.668605895359875,1.247111278438,30.40536269151219,2.0009456891680726,0.368431638611622,0.024151656638316078,1.1548522400856018,0.45012570523729084
network_layers,num_layers,4,LBTM,2.712366973815625,0.4166016494846754,27.95834518310747,3.4098809893067807,0.15856957898211235,0.01563638414236835,0.002911198139190674,0.00027247805428631355
network_layers,num_layers,4,RTM-RPF,15.658965499831824,1.1381344526977584,26.579729940234238,2.0612662751918926,0.33761263545574427,0.02404917911327529,0.00995675802230835,0.0009780988210533
network_layers,num_layers,4,SPTM,9.386221961271323,0.8682556745701302,31.81774812512987,2.8062702688586536,0.2704506628401469,0.02125380457594365,0.004566810131072998,0.00044084257500166455
network_layers,num_layers,5,CPLEX,16.255307263553917,1.2159822411350443,30.499178895199652,1.8792620722631521,0.36292944188734017,0.023570241892836033,0.9948124241828918,0.34041625508009565
network_layers,num_layers,5,LBTM,2.3191127640975573,0.4504486260368141,27.917747130192815,3.31907900577882,0.1527776700450772,0.014797075554138037,0.002743561267852783,0.0002916395581895714
network_layers,num_layers,5,RTM-RPF,15.651613977213842,1.1277665370393093,25.571137462086572,1.9297192352481478,0.33318507451199736,0.02313394181132685,0.009491589069366455,0.0009970079615641693
network_layers,num_layers,5,SPTM,9.104649899997044,0.8058139972013931,31.066819064117,2.6294143139207753,0.26320993741760207,0.020333728241288766,0.0042530250549316405,0.0003633893486034959
network_layers,num_layers,6,CPLEX,15.279231236534494,1.2706036291515366,29.518120185987524,1.8734106778658504,0.3447809613190107,0.02385191377130224,1.0605276799201966,0.30605500558089604
network_layers,num_layers,6,LBTM,2.325260615523229,0.42632884378982616,25.445675168143598,3.2849422428634014,0.14227090237094728,0.015282224492295373,0.002655205726623535,0.0002640797693414359
network_layers,num_layers,6,RTM-RPF,14.719398278182648,1.0914353490098865,24.55725634805591,2.0439276309203307,0.31552250260856324,0.023386117096269775,0.009105865955352782,0.0010248867269255226
network_layers,num_layers,6,SPTM,8.26996844593001,0.8755674521969224,30.41869627038714,2.821940857190788,0.24850824752923073,0.02050323652868914,0.004071886539459228,0.0003940309450609491
